work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,EN,PT,Data Scientist,9.852246888342531,EUR,9.983684094530405,IT,3.9318256327243257,IT,S
2021e,MI,FT,Machine Learning Engineer,11.211833885608513,USD,11.211833885608513,JP,3.9318256327243257,JP,S
2021e,SE,FT,Data Science Manager,11.931642378754141,USD,11.931642378754141,US,4.61512051684126,FR,L
2021e,MI,FT,Big Data Engineer,9.798182590890704,USD,9.798182590890704,MD,0.0,MD,S
2021e,SE,FT,Computer Vision Engineer,11.532737896139919,BRL,9.854979848471084,BR,0.0,BR,M
2021e,MI,FT,Data Scientist,10.586609649448985,EUR,10.762255098166618,ES,4.61512051684126,ES,M
2021e,EN,FT,AI Scientist,14.104442598879876,INR,9.803832949375943,IN,4.61512051684126,AS,S
2021e,MI,FT,Lead Data Analyst,14.187074804051692,INR,9.88644311792687,IN,4.61512051684126,IN,L
2021e,MI,FT,Data Analyst,11.034905792929415,USD,11.034905792929415,US,0.0,US,L
2021e,MI,FT,Data Scientist,11.19822841866684,USD,11.19822841866684,US,0.0,US,L
2021e,MI,FT,Data Engineer,10.555838779903407,EUR,10.731471523318284,NL,4.61512051684126,NL,L
2020,SE,FT,Data Science Manager,12.155836686703159,USD,12.155836686703159,US,4.61512051684126,US,M
2020,MI,FT,Data Scientist,11.678448377988165,USD,11.678448377988165,US,4.61512051684126,US,M
2020,MI,FT,Data Scientist,11.837549213233764,USD,11.837549213233764,US,4.61512051684126,US,M
2020,MI,FT,Data Engineer,11.781432363235949,USD,11.781432363235949,ES,4.61512051684126,US,M
2021e,SE,FT,Director of Data Science,12.031725210748633,USD,12.031725210748633,JP,0.0,JP,S
2021e,MI,FT,Data Engineer,10.085850775128717,EUR,10.26147663261959,MT,3.9318256327243257,MT,L
2020,SE,FT,Data Scientist,12.928781055513184,USD,12.928781055513184,US,4.61512051684126,US,L
2021e,MI,FT,Principal Data Scientist,11.92504173829169,USD,11.92504173829169,US,4.61512051684126,US,L
2021e,SE,FT,Data Science Manager,15.76142084987672,INR,11.460768639952663,IN,3.9318256327243257,IN,L
